GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DoctorClick,es.deusto.spq.doctorclick.service,CitaService,47,280,17,21,16,61,18,16,2,13
DoctorClick,es.deusto.spq.doctorclick.service,PacienteService,0,34,0,2,0,10,0,5,0,4
DoctorClick,es.deusto.spq.doctorclick.service,CitaService.CitaCreacionResultado,0,21,0,0,0,4,0,1,0,1
DoctorClick,es.deusto.spq.doctorclick.service,MedicoService,2,53,1,3,1,15,1,7,0,6
DoctorClick,es.deusto.spq.doctorclick.service,RegistroService,0,59,1,5,0,16,1,4,0,2
DoctorClick,es.deusto.spq.doctorclick.service,CitaService.CitaEliminadaResultado,0,27,0,0,0,5,0,1,0,1
DoctorClick,es.deusto.spq.doctorclick.service,AuthService,3,95,1,7,1,25,2,7,1,4
DoctorClick,es.deusto.spq.doctorclick.model,Cita,5,66,1,1,1,25,1,13,0,13
DoctorClick,es.deusto.spq.doctorclick.model,Medico,0,26,0,0,0,11,0,5,0,5
DoctorClick,es.deusto.spq.doctorclick.model,Usuario,0,49,0,0,0,20,0,11,0,11
DoctorClick,es.deusto.spq.doctorclick.model,Paciente,0,10,0,0,0,4,0,2,0,2
DoctorClick,es.deusto.spq.doctorclick.model,Especialidad,0,33,0,0,0,2,0,1,0,1
DoctorClick,es.deusto.spq.doctorclick.controller.web,PacienteController,126,3,4,0,29,1,7,1,5,1
DoctorClick,es.deusto.spq.doctorclick.controller.web,MedicoController,181,3,8,0,48,1,9,1,5,1
DoctorClick,es.deusto.spq.doctorclick.controller.web,BaseController,6,3,0,0,2,1,1,1,1,1
DoctorClick,es.deusto.spq.doctorclick.controller.web,AuthController,8,3,0,0,4,1,3,1,3,1
DoctorClick,es.deusto.spq.doctorclick,Utility.ParMedicoEspecialidad,3,0,0,0,1,0,1,0,1,0
DoctorClick,es.deusto.spq.doctorclick,WebConfig,0,9,0,0,0,3,0,2,0,2
DoctorClick,es.deusto.spq.doctorclick,DoctorClickApplication,5,6,0,0,2,3,1,3,1,3
DoctorClick,es.deusto.spq.doctorclick,Utility,5,65,2,8,1,16,3,5,1,2
DoctorClick,es.deusto.spq.doctorclick,FilterConfig,0,145,0,0,0,30,0,6,0,6
DoctorClick,es.deusto.spq.doctorclick.controller.api,ApiAuthController.PacienteController,3,0,0,0,1,0,1,0,1,0
DoctorClick,es.deusto.spq.doctorclick.controller.api,ApiAuthController,381,89,35,5,78,23,23,4,3,4
DoctorClick,es.deusto.spq.doctorclick.controller.api,ApiMedicoController,109,6,8,0,27,3,8,1,3,1
DoctorClick,es.deusto.spq.doctorclick.controller.api,ApiPacienteController,257,3,9,0,57,1,10,1,5,1
DoctorClick,es.deusto.spq.doctorclick.filters,FiltroJWT,58,3,8,0,15,1,5,1,1,1
DoctorClick,es.deusto.spq.doctorclick.filters,FiltroRequerirNoAutenticado,60,21,10,2,14,8,6,2,0,2
DoctorClick,es.deusto.spq.doctorclick.filters,FiltroSlash,14,15,3,1,2,5,2,2,0,2
DoctorClick,es.deusto.spq.doctorclick.filters,FiltroMedico,62,4,8,0,15,1,5,2,1,2
DoctorClick,es.deusto.spq.doctorclick.filters,FiltroPaciente,62,4,8,0,15,1,5,2,1,2
